epoch,lr-AdamW,step,train_acc_step,train_loss_step
,0.001,49,,
0,,49,0.0,1.9541015625
,0.001,99,,
0,,99,0.0,0.7724609375
,0.001,149,,
0,,149,0.0,1.3837890625
,0.001,199,,
0,,199,1.0,0.61572265625
,0.001,249,,
0,,249,1.0,0.57373046875
,0.001,299,,
0,,299,1.0,0.2568359375
,0.001,349,,
0,,349,0.0,1.1494140625
,0.001,399,,
0,,399,1.0,0.421630859375
,0.001,449,,
0,,449,0.0,4.74609375
,0.001,499,,
0,,499,1.0,0.226318359375
,0.001,549,,
0,,549,0.0,1.0849609375
,0.001,599,,
0,,599,0.0,0.9384765625
,0.001,649,,
0,,649,0.0,1.3740234375
,0.001,699,,
0,,699,1.0,0.56640625
,0.001,749,,
0,,749,0.0,1.6142578125
,0.001,799,,
0,,799,0.0,0.8642578125
,0.001,849,,
0,,849,1.0,0.51953125
,0.001,899,,
0,,899,0.0,2.845703125
,0.001,949,,
0,,949,0.0,0.97900390625
,0.001,999,,
0,,999,1.0,0.76025390625
,0.001,1049,,
0,,1049,0.0,0.97509765625
,0.001,1099,,
0,,1099,0.0,1.244140625
,0.001,1149,,
0,,1149,1.0,0.66650390625
,0.001,1199,,
0,,1199,0.0,1.201171875
,0.001,1249,,
0,,1249,1.0,0.50732421875
,0.001,1299,,
0,,1299,0.0,1.10546875
,0.001,1349,,
0,,1349,1.0,0.6083984375
,0.001,1399,,
0,,1399,0.0,0.8193359375
,0.001,1449,,
0,,1449,0.0,0.93212890625
,0.001,1499,,
0,,1499,1.0,0.76318359375
,0.001,1549,,
0,,1549,0.0,1.212890625
,0.001,1599,,
0,,1599,0.0,0.92578125
,0.001,1649,,
0,,1649,1.0,0.75048828125
,0.001,1699,,
0,,1699,1.0,0.56298828125
,0.001,1749,,
0,,1749,0.0,1.046875
,0.001,1799,,
0,,1799,0.0,0.88916015625
,0.001,1849,,
0,,1849,0.0,0.7412109375
,0.001,1899,,
0,,1899,0.0,3.4453125
,0.001,1949,,
0,,1949,0.0,3.21875
,0.001,1999,,
0,,1999,1.0,0.494873046875
,0.001,2049,,
0,,2049,1.0,0.72119140625
,0.001,2099,,
0,,2099,1.0,0.681640625
,0.001,2149,,
0,,2149,0.0,0.9189453125
,0.001,2199,,
0,,2199,0.0,0.802734375
,0.001,2249,,
0,,2249,0.0,0.8876953125
,0.001,2299,,
0,,2299,0.0,1.0068359375
,0.001,2349,,
0,,2349,0.0,0.80029296875
,0.001,2399,,
0,,2399,1.0,0.75341796875
,0.001,2449,,
0,,2449,0.0,0.91015625
,0.001,2499,,
0,,2499,1.0,0.80078125
,0.001,2549,,
0,,2549,1.0,0.64208984375
,0.001,2599,,
0,,2599,0.0,1.0078125
,0.001,2649,,
0,,2649,1.0,0.6767578125
,0.001,2699,,
0,,2699,0.0,1.109375
,0.001,2749,,
0,,2749,0.0,1.4912109375
,0.001,2799,,
0,,2799,0.0,1.1259765625
,0.001,2849,,
0,,2849,0.0,0.96728515625
,0.001,2899,,
0,,2899,1.0,0.74853515625
,0.001,2949,,
0,,2949,1.0,0.62890625
,0.001,2999,,
0,,2999,0.0,1.0087890625
,0.001,3049,,
0,,3049,0.0,0.92529296875
,0.001,3099,,
0,,3099,1.0,0.603515625
,0.001,3149,,
0,,3149,1.0,0.71240234375
,0.001,3199,,
0,,3199,1.0,0.71337890625
,0.001,3249,,
0,,3249,1.0,0.61865234375
,0.001,3299,,
0,,3299,1.0,0.6953125
,0.001,3349,,
0,,3349,1.0,0.464599609375
,0.001,3399,,
0,,3399,1.0,0.669921875
,0.001,3449,,
0,,3449,0.0,1.23828125
,0.001,3499,,
0,,3499,0.0,1.13671875
,0.001,3549,,
0,,3549,0.0,0.86474609375
,0.001,3599,,
0,,3599,1.0,0.56201171875
,0.001,3649,,
0,,3649,0.0,3.73828125
,0.001,3699,,
0,,3699,1.0,0.7548828125
,0.001,3749,,
0,,3749,0.0,1.3837890625
,0.001,3799,,
0,,3799,1.0,0.61376953125
,0.001,3849,,
0,,3849,0.0,3.5078125
,0.001,3899,,
0,,3899,0.0,1.04296875
,0.001,3949,,
0,,3949,1.0,0.65771484375
,0.001,3999,,
0,,3999,1.0,0.55029296875
